"﻿""Annual greenhouse gas (GHG) emissions for United States of America"," in kt CO₂ equivalent"""
Query results for  — Party: United States of America — Years: All years — Category: 3.D.1 Direct N₂O Emissions From Managed Soils — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent

Category,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021)
3.D.1  Direct N₂O Emissions From Managed Soils,259497.37333941358,259497.37333941358,251179.98391648315,249017.74292505672,259643.31364398403,262935.7320186706,258983.2178721506,266761.99996332114,259657.7581270575,260488.74174919614,258386.47444759402,253636.39115666557,262197.86921875936,263573.71137557103,265406.17719891015,270758.49601334054,263822.77414854703,260462.40401016452,268059.3434332836,264454.38493850146,266195.96816491627,266414.3246228989,265521.2284147771,257874.54840059468,283407.20039385406,290231.2094422633,280746.4191320663,273339.09712018137,279214.22593537864,290545.44610322895,276591.6331621641,261884.60468807412,264706.1441752671
3.D.1.a  Inorganic N Fertilizers,61044.72972788951,61044.72972788951,61239.5261667728,60427.008320180954,61899.82263906132,70522.90343997438,62693.88716747768,68816.19218280245,66333.27277861332,63961.47260238007,65507.365299794365,64939.154414417724,62041.015399275406,65104.12945328187,65092.57821042236,67396.73397099575,65329.4547810343,63826.280014664066,68636.71776872184,66365.61933781006,61686.8400003745,62607.564779942346,68561.10027545659,71284.32783996948,72919.95937160352,73140.61589582305,68689.35054822757,66161.51827262442,69824.23766671043,68865.12492793675,65648.99104400037,64368.59899677003,62680.54904827236
3.D.1.b  Organic N Fertilizers,11730.645777216323,11730.645777216323,11774.912726033754,11852.590858468566,11808.024320782759,12204.383943167382,12183.510357109184,12422.44733941734,12451.161765808787,12353.732247945474,12285.473049790013,12506.926927020091,12954.475200408799,13664.84895062974,13344.117782123349,12716.535403352827,13083.065045679145,13238.408367115602,13710.714535044894,13893.791397705038,13747.263090865279,13412.66974205654,14064.691164005111,14166.118630001793,14351.127375128224,14483.033880641311,14357.409138705721,14310.32040687623,14991.024187363286,15044.926559140882,14919.413090127568,15132.655975053722,15281.649563839073
3.D.1.c  Urine and Dung Deposited by Grazing Animals,15839.573500969584,15839.573500969584,15520.301288137334,15877.373141614113,16172.930414177476,16716.394283473124,16529.036583345292,16625.373846018752,15837.110162333174,16096.459635426041,15083.72424178284,14985.187252873484,15085.767105613024,15208.280182880198,14781.040819507029,14767.737375517509,14572.607013131195,14860.608171559921,14102.683791377593,14016.035609547414,14298.749663505203,13896.304751905025,13819.931486384636,13061.72576722637,13397.177805439254,13322.913012576959,13630.787377089571,13713.606735794852,13925.076687275005,14498.240610574914,13822.675663796326,13480.98233383674,13983.90673667634
3.D.1.d  Crop Residues,47764.95856870479,47764.95856870479,46732.8824703726,45397.903057158204,48701.069126031,46008.34251337441,49299.47665149244,48775.36842024529,47146.44222960979,44653.78294007893,51511.496130602725,46668.64293672592,49132.52234802119,49252.99131849767,50123.63224367718,45263.936242009906,48606.757715392785,47547.64483645875,47562.008089857656,46743.90319442222,47685.6209197637,48928.51477498862,49628.258548827696,49017.27805458985,49188.572363734704,50273.261582495245,45392.3246824928,45382.819150979485,48958.871439648996,50856.436850289734,47734.430482955504,51475.97454393488,45319.55859305437
3.D.1.e  Mineralization/Immobilization Associated with Loss/Gain of Soil Organic Matter,117376.16038685363,117376.16038685363,110227.39436040827,109807.11131523231,115378.81663011019,111796.92053439002,112616.52594750424,114481.44847347542,112230.4277080863,117828.27506204281,108450.93475410854,108969.47533456857,117416.43656103086,114765.69879314252,116626.76118421338,125128.06175010373,116754.86588284331,115531.98976721131,118671.65941735299,118063.66972445359,123424.8938572435,122211.45444679017,114092.63355023744,104999.17373183349,128215.45104998276,133703.6552363975,133408.78708912074,128517.0377333226,126294.4952402787,136098.3121957884,129301.09144929903,112242.29776811691,122228.07441480776
3.D.1.f  Cultivation of Organic Soils,5741.305377779744,5741.305377779744,5684.966904758383,5655.756232402601,5682.650513821303,5686.7873042912315,5660.78116522174,5641.16970136186,5659.343482606134,5595.0192613228255,5547.480971515552,5567.004291059813,5567.652604410045,5577.762677139011,5438.046958966828,5485.491271360861,5476.023710466339,5457.472853154886,5375.559830928675,5371.365674563104,5352.600633164106,5357.816127216146,5354.613389865642,5345.924376973724,5334.912427965654,5307.729834329185,5267.760296429968,5253.794820583756,5220.520714102201,5182.404959498254,5165.031431985262,5184.095070361832,5212.405818617179
3.D.1.g  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO

Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.
